Id;Q1;Q2;Q3;Q4;Q5;class;label
user1;0.000712758374910905;0.000712758374910905;0.997148966500357;0.000712758374910905;0.000712758374910905;3;1
website1;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.997148966500356;5;10
website2;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.997148966500356;5;10
website3;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.997148966500356;5;10
website4;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.997148966500356;5;10
website5;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.997148966500356;5;10
website6;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website7;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website8;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website9;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website10;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website11;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website12;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website13;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website14;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website15;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website16;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website17;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website18;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
website19;0.997148966500357;0.000712758374910905;0.000712758374910905;0.000712758374910905;0.000712758374910905;1;10
